actual,predicted
0.0,11.550235
61.95588,41.53497
0.0,0.57807493
4.99664,36.06625
5.01931,8.677857
0.0,12.335398
81.36097,18.931526
17.56759,8.266249
35.13517,28.318422
0.0,15.062435
0.0,10.475509
14.48651,23.799295
41.6143,97.61551
30.11586,9.012389
6.83098,12.438612
102.5989,110.77037
70.46235,90.91636
9.46358,28.303282
0.0,15.213984
38.99677,29.48737
5.19435,30.863098
2.50966,11.271759
66.04785,73.53374
4.13651,26.025335
11.29345,17.216118
7.52897,19.204035
0.0,16.442148
2.50966,22.477938
16.47527,24.475191
0.0,21.700577
0.0,23.7224
48.21802,14.776558
65.03504,61.404312
0.0,3.6185462
62.65653,68.900795
1.25483,9.309557
6.18064,41.51411
82.03016,62.365665
1.25483,19.040676
0.0,16.170715
14.60219,22.499596
8.69985,8.835259
55.25468,29.522577
0.0,5.868064
1.25483,22.35677
43.91896,11.85608
2.70388,6.3133545
6.62118,34.4316
2.49047,7.681365
0.0,10.488379
8.78379,14.756926
1.16133,19.780285
27.60982,54.988564
2.50966,7.407812
0.0,6.3646493
16.21926,22.150757
2.50966,9.866403
7.27347,5.014906
64.22754,86.329315
41.25092,28.9884
1.25483,18.128431
0.0,7.290636
62.2325,47.290142
0.0,25.93256
0.0,14.824732
58.23673,28.567139
5.40776,23.84223
33.88034,34.823895
81.036,74.032455
11.65923,29.320974
0.0,5.1068234
3.67099,24.630878
49.03539,35.35681
38.89965,8.218204
55.21241,8.1431465
0.0,7.5198483
0.0,4.0350695
4.32132,13.354691
70.7994,91.140526
76.74373,79.6536
60.34825,24.08983
0.0,8.002512
32.62552,10.59184
54.0547,23.09869
5.01931,8.947583
1.25483,6.4601245
1.35194,15.53532
0.0,10.638943
2.70388,7.2697206
33.88034,8.481123
9.27298,20.251207
2.39335,14.2939825
9.34656,7.4555235
1.16133,16.53249
1.25483,5.3386188
24.34176,12.257799
76.77821,59.944843
2.50966,8.293211
13.31528,28.425364
73.90413,81.54362
69.47999,101.827995
3.76448,21.968412
59.63004,14.281422
19.89084,28.571516
66.77724,105.76377
72.1746,79.556076
1.25483,12.70359
16.71207,19.48158
0.0,7.277761
40.15448,21.162643
45.17379,13.92893
61.0427,79.91462
5.01931,22.13058
5.78386,30.782528
17.56759,11.875146
0.0,6.8693805
0.0,19.413767
5.29784,32.070316
0.0,19.102846
5.19435,13.883974
2.50966,14.347402
74.26991,103.45862
17.56759,13.844226
4.15932,21.54761
5.01931,6.35391
5.01931,11.954602
49.03539,36.205692
36.1345,10.713671
9.31796,26.885942
5.01931,12.835775
71.85605,91.29446
2.25416,31.21506
7.52897,11.685515
0.0,15.56951
1.25483,15.378784
83.16752,96.44056
4.05582,16.995842
4.15932,22.768253
0.0,16.822214
8.69985,13.280255
2.50966,16.924646
36.2965,34.245697
32.62552,14.8672905
53.93839,21.637423
33.88034,9.060598
37.55495,31.48831
17.30259,8.479044
0.0,5.6547337
0.0,6.6044817
66.60297,27.686207
5.32065,31.096302
1.25483,22.26257
31.37069,34.665012
0.0,9.472042
25.09655,7.932266
10.99261,25.51126
26.35138,4.50313
11.30662,20.520336
13.73278,27.61581
80.30896,24.309683
94.24049,80.39543
3.41549,22.730518
1.16133,18.349247
4.25281,19.516102
0.0,19.665636
2.99798,23.223503
0.0,12.395984
1.13853,10.3385935
5.50764,23.306372
2.50966,4.9798813
6.29717,24.523134
3.95871,16.38983
4.05582,9.690169
87.49052,55.13662
2.70388,21.253633
7.52897,6.7108035
20.07724,9.271667
0.0,11.721416
12.54828,7.459569
11.29345,11.866439
17.6647,7.7364845
3.86521,41.815327
5.01931,9.759837
2.50966,9.73991
2.50966,21.148989
0.0,10.263238
31.37069,12.221516
2.99798,18.920246
0.0,19.058685
51.44793,20.089605
0.0,25.79452
71.26967,18.259096
36.48711,20.97878
38.89965,10.078782
28.86103,22.523083
11.58501,8.0011425
21.33207,14.183245
0.0,15.11036
4.05582,10.830057
0.0,22.710546
0.0,13.017139
27.60621,32.195892
18.82241,8.032335
0.0,5.265312
15.05793,15.728238
15.36013,25.696302
58.81851,27.669691
8.78379,2.812936
35.52724,37.175392
0.0,9.060851
2.13785,13.292349
10.954,9.135284
61.68077,42.49012
36.39,7.1651607
14.3046,15.095195
1.25483,28.23731
66.64542,27.60073
0.99933,17.810812
2.50966,5.426111
54.95963,81.91649
56.33795,21.625887
7.53258,16.049587
1.25483,12.733737
0.0,17.142532
22.99344,21.446175
7.52897,12.849472
7.52897,7.3435287
12.47795,20.942677
10.03862,11.389135
6.37849,26.684294
2.50966,18.715883
2.50966,24.455923
33.88034,27.091349
2.50966,14.488791
41.50642,24.193949
3.76448,12.711
1.13853,24.879576
22.5869,8.747616
0.0,12.622533
10.03862,9.4978285
74.15687,81.30123
35.3294,22.550844
64.23895,36.15987
0.0,14.965498
3.76448,7.1349998
25.98504,31.753227
11.45582,30.580254
62.75726,60.86882
37.64483,12.214119
0.0,11.556352
7.34791,6.2251306
0.0,9.256915
0.0,7.3016343
85.07639,38.480724
21.33207,17.548876
0.0,8.886055
31.37069,21.188274
2.50966,11.051676
10.30729,12.06297
7.52897,17.891914
8.19233,12.918706
0.0,3.9996834
0.0,15.436808
0.99933,9.617554
60.25942,97.26675
2.70388,22.751055
38.89965,10.063395
1.25483,12.237912
0.0,9.783873
85.61961,48.03296
4.05582,20.70892
4.05582,10.473649
5.62185,34.529793
1.25483,19.358221
7.52897,21.644316
2.50966,15.671573
0.0,49.19927
11.30662,16.60487
9.34656,15.831274
6.45918,32.515675
0.0,24.445202
55.95624,33.00504
96.17591,135.29655
9.53124,32.093414
12.54828,6.067187
5.32065,20.950724
1.25483,6.1219835
17.6647,19.492968
0.99933,9.452271
17.30607,28.529152
0.0,21.558365
1.99866,26.837547
6.18064,23.733614
4.05582,3.133692
2.50966,9.889687
11.79843,10.098013
0.0,12.514895
7.31931,27.87072
46.17312,4.4108987
16.31276,7.7235985
25.09655,17.469055
0.0,31.2613
0.0,23.803762
0.0,13.879176
82.93238,49.408386
2.70388,10.338864
23.84172,10.067678
42.54874,44.928265
0.0,13.918557
3.76448,11.947743
7.52897,37.54723
67.24969,25.59618
7.48131,21.680859
2.50966,34.07645
12.60005,14.016083
0.0,6.7571025
0.0,9.816191
0.0,19.31823
2.41616,14.153318
0.0,14.448161
33.88034,9.45968
7.08648,21.615995
70.95656,40.126072
30.11586,9.879222
8.25012,9.087507
11.29345,14.495163
0.0,17.107635
0.0,10.424416
76.1701,71.226
52.66194,81.738525
3.15999,23.704756
35.13517,7.064099
78.5554,89.643135
14.95132,6.4968915
33.97746,19.42274
2.50966,15.267794
8.48064,14.017084
1.25483,14.586695
13.8031,7.5152726
18.91953,15.16577
108.56414,100.764084
1.35194,9.537198
3.67099,22.29115
81.52066,74.85722
0.0,18.684252
0.0,26.920773
1.35194,19.0001
70.81483,36.711426
23.84172,12.459661
0.0,10.452209
2.50966,8.967746
64.95734,42.48589
17.56759,6.302167
74.22905,58.36912
22.5869,9.876389
4.25281,45.85101
8.11164,14.384092
18.82241,13.5968
6.27414,11.199188
55.9014,38.471638
0.0,2.6616871
14.65721,20.321442
5.29784,37.876793
0.0,14.454163
4.50831,10.600614
77.07715,99.06836
2.16066,28.541567
0.0,15.817429
1.35194,44.071476
0.0,17.841984
1.99866,8.888671
8.69985,11.810348
1.25483,8.988362
7.70052,4.605977
63.67861,100.84906
9.69918,2.7489643
8.78379,21.333641
6.27414,14.609721
71.05272,107.30819
18.30539,24.615492
17.86978,16.36692
0.0,9.070852
1.16133,17.289999
48.93827,18.158615
85.68732,19.98844
43.91896,7.139897
0.0,13.292613
0.0,10.751271
17.56759,16.720783
